org_inv_dk,rearer_dk,rearer_pop_dk,org_category,start_dt,end_dt,class_result_nm,org_test_result_nm
4UdmZh3bTpW4PS8aYJQ4PMznrtQ=,,,种猪场,2022-07-16,2022-08-06,高繁感染,B阳
bDoAABOf6+fM567U,,,种猪场,2023-09-04,2023-10-17,高繁感染,A阳（单缺）
bDoAADt50rLM567U,,,种猪场,2023-11-08,2023-12-24,高繁感染,ABE型
VVMTzQESEADgBAvlfwAAAcznrtQ=,,,种猪场,2022-07-08,2022-08-11,高繁感染,B阳
bDoAAHz0wTHM567U,,,种猪场,2022-08-19,2022-09-19,高繁感染,A阳（单缺）
8rEcmj38R/S5VZO6LDDNY8znrtQ=,,,种猪场,2022-12-22,2023-01-26,高繁感染,B阳
bDoAAAg6uQPM567U,,,种猪场,2022-12-12,2023-02-13,高繁感染,B阳
bDoAABvH6ZbM567U,,,种猪场,2023-04-25,2023-05-29,高繁感染,A阳（双缺）
bDoAAETu4+bM567U,,,种猪场,2023-07-22,2023-08-11,高繁感染,ABE型
bDoAABbpD+3M567U,,,种猪场,2023-09-15,2023-10-05,高繁感染,阴
e03d3f1b-010a-1000-e004-3077c0a802deCCE7AED4,,,种猪场,2023-12-02,2024-02-07,高繁感染,ABE型
bDoAAC99YkvM567U,,,种猪场,2023-07-07,2023-08-04,高繁感染,B阳
bDoAAByPIb3M567U,,,种猪场,2023-07-07,2023-08-10,高繁感染,A阳（双缺）
8rEcmj38R/S5VZO6LDDNY8znrtQ=,,,种猪场,2023-11-14,2023-12-13,高繁感染,ABE型
bDoAAALPaMvM567U,,,种猪场,2024-07-12,2024-07-31,高繁感染,ABE型
8FRN1hPTQT+MERWjigmiMMznrtQ=,,,种猪场,2022-06-01,2022-06-27,高繁感染,B阳
AtF/VOCpTy6RBKVEYz0ansznrtQ=,,,种猪场,2022-11-04,2022-12-09,高繁感染,B阳
bDoAAAdFWT7M567U,,,种猪场,2023-01-15,2023-02-06,高繁感染,B阳
bDoAAKzgg83M567U,,,种猪场,2023-02-17,2023-03-07,高繁感染,A阳（双缺）
bDoAACiWZvjM567U,,,种猪场,2023-02-16,2023-03-09,高繁感染,B阳
bDoAAFGIFLjM567U,,,种猪场,2023-07-23,2023-08-16,高繁感染,"ABE型,B阳"
fwQkjQHjRU+OKZeA9QsfKMznrtQ=,,,种猪场,2024-05-09,2024-06-06,高繁感染,D阳+B阳
bDoAAHz0wTHM567U,,,种猪场,2022-05-03,2022-05-30,高繁感染,B阳
bDoAACjcPZbM567U,,,种猪场,2022-09-23,2022-09-27,高繁感染,B阳
AtF/VOCpTy6RBKVEYz0ansznrtQ=,,,种猪场,2022-12-14,2023-02-06,高繁感染,B阳
XKCFPgEQEADgAT2OfwAAAcznrtQ=,,,种猪场,2023-03-06,2023-03-29,高繁感染,B阳
