stats_dt,pigfarm_dk,org_inv_dk,org_inv_nm,l2_org_inv_nm,l3_org_inv_nm,l4_org_inv_nm,l5_org_inv_nm,abort_qty,preg_stock_qty,abortion_1_7
2023-01-01,Kv/utwEREADgAH1xfwAAAcznrtQ=,Kv/utwEREADgAH1xfwAAAcznrtQ=,木排种猪场,海南温氏,（停用）琼海公司,木排种猪场,,0.0,2232.0,0.000895255147717
2023-01-01,Kv/utwEREADgAH26fwAAAcznrtQ=,Kv/utwEREADgAH26fwAAAcznrtQ=,和庆种猪场,海南温氏,（停用）琼海公司,和庆种猪场,,0.0,1700.0,0.0005878894767783
2023-01-01,bDoAAKfyFNXM567U,bDoAAKfyFNXM567U,雅星种猪场,海南温氏,（停用）琼海公司,雅星种猪场,,0.0,6245.0,0.0004801536491677
2023-01-01,bDoAAKurSXDM567U,bDoAAKurSXDM567U,戈枕种猪场,海南温氏,（停用）琼海公司,戈枕种猪场,,0.0,2033.0,0.0
2023-01-01,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,塔洋种猪一场,海南温氏,（停用）琼海公司,塔洋种猪一场,,0.0,3238.0,0.0003087372645878
2023-01-01,jlK20QEfEADgAmz4CgsFAsznrtQ=,jlK20QEfEADgAmz4CgsFAsznrtQ=,十八种猪场,海南温氏,（停用）琼海公司,十八种猪场,,1.0,2324.0,0.0008598452278589
2023-01-02,Kv/utwEREADgAH1xfwAAAcznrtQ=,Kv/utwEREADgAH1xfwAAAcznrtQ=,木排种猪场,海南温氏,（停用）琼海公司,木排种猪场,,0.0,2218.0,0.0009009009009009
2023-01-02,Kv/utwEREADgAH26fwAAAcznrtQ=,Kv/utwEREADgAH26fwAAAcznrtQ=,和庆种猪场,海南温氏,（停用）琼海公司,和庆种猪场,,0.0,1701.0,0.0005875440658049
2023-01-02,bDoAAKfyFNXM567U,bDoAAKfyFNXM567U,雅星种猪场,海南温氏,（停用）琼海公司,雅星种猪场,,0.0,6420.0,0.0004670714619336
2023-01-02,bDoAAKurSXDM567U,bDoAAKurSXDM567U,戈枕种猪场,海南温氏,（停用）琼海公司,戈枕种猪场,,0.0,2065.0,0.0
2023-01-02,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,塔洋种猪一场,海南温氏,（停用）琼海公司,塔洋种猪一场,,0.0,3269.0,0.0
2023-01-02,jlK20QEfEADgAmz4CgsFAsznrtQ=,jlK20QEfEADgAmz4CgsFAsznrtQ=,十八种猪场,海南温氏,（停用）琼海公司,十八种猪场,,0.0,2371.0,0.000842815002107
2023-01-03,Kv/utwEREADgAH1xfwAAAcznrtQ=,Kv/utwEREADgAH1xfwAAAcznrtQ=,木排种猪场,海南温氏,（停用）琼海公司,木排种猪场,,0.0,2201.0,0.0009078529278256
2023-01-03,Kv/utwEREADgAH26fwAAAcznrtQ=,Kv/utwEREADgAH26fwAAAcznrtQ=,和庆种猪场,海南温氏,（停用）琼海公司,和庆种猪场,,1.0,1692.0,0.0011806375442739
